Song Title,Predicted Popularity,Actual Popularity
VULGAR - Sam Smith Madonna,49.52,66
She Wolf (Falling to Pieces) [feat. Sia] - David Guetta Sia,68.27,67
GRIS - Quevedo Roso,50.06,60
Runaway - P!nk,50.00,70
Billie Eilish - OverHeated,80.83,68
Future - Married To The Game,41.01,69
Wish You The Best - Lewis Capaldi,64.12,83
If It's Lovin That You Want - Rihanna,71.88,80
Because Of You - Stephen Sanchez,18.98,56
Worth It. - RAYE,20.94,62
Burn - Ellie Goulding,61.39,47
Cherry Flavoured - The Neighbourhood,61.72,68
TUYA - ROSALÍA,84.12,80
Invited - 070 Shake,17.98,41
7 rings - Ariana Grande,73.09,86
Fluorescent Adolescent - Arctic Monkeys,56.98,81
HiiiJack - SZA,65.74,55
PUNTO G - Quevedo,44.21,85
Junio - Maluma,55.63,64
Not Afraid - Eminem,26.51,48
River - Charlie Puth,75.74,80
Gasoline - Halsey,60.98,74
Smooth Criminal (2012 Remaster) - Michael Jackson,78.34,79
California Dreamin - Sia,72.33,77
NIGHTS LIKE THIS - The Kid LAROI,28.13,64
Alone - Halsey,93.10,67
Money - Cardi B,56.96,73
Ghost - Halsey,48.62,58
Forever - Justin Bieber Post Malone Clever,78.99,68
Get Get Get Down - Pitbull Tim McGraw Vikina,46.11,63
Buenas - Quevedo Saiko,85.38,82
Loba - Shakira,65.53,83
Lo Sabe Dios - KAROL G,51.69,68
Fades Away - Avicii Noonie Bao,55.87,54
In My Head - Juice WRLD,61.10,74
Something Real - Post Malone,59.33,88
What Would I Change It To - Avicii Aluna,57.61,55
FINA - Bad Bunny,72.39,65
From The Ritz To The Rubble - Arctic Monkeys,59.56,69
Naughty Girl - Beyoncé,66.64,67
Shooter - Chris Brown,63.86,67
Mine (Taylor’s Version) - Taylor Swift,86.21,80
Hurt Me - Juice WRLD,42.65,74
Magic - Coldplay,75.34,83
Ginger Me - Rema,53.96,54
Together - Sia,45.47,71
bad idea right - Olivia Rodrigo,58.81,93
motive - Ariana Grande Doja Cat,70.29,78